FechaHora,Zona,Estado
2025-06-30 21:56:44,0,Activo
2025-06-30 21:56:52,1,Activo
2025-06-30 21:57:00,2,Inactivo
2025-06-30 21:57:08,3,Activo
2025-06-30 21:57:16,4,Activo
2025-06-30 21:57:24,5,Activo
2025-06-30 21:57:32,6,Activo
2025-06-30 21:57:40,7,Activo
2025-06-30 21:57:48,8,Activo
2025-07-01 10:52:51,0,Activo
2025-07-01 10:52:51,0,Activo
2025-07-01 10:52:58,1,Activo
2025-07-01 10:52:58,1,Activo
2025-07-01 10:53:06,2,Inactivo
2025-07-01 10:53:06,2,Inactivo
2025-07-01 10:53:14,3,Inactivo
2025-07-01 10:53:14,3,Inactivo
2025-07-02 11:40:45,0,Activo
2025-07-02 11:40:45,0,Activo
2025-07-02 11:40:53,1,Activo
2025-07-02 11:40:53,1,Activo
2025-07-02 11:41:01,2,Activo
2025-07-02 11:41:01,2,Activo
2025-07-02 11:41:09,3,Activo
2025-07-02 11:41:09,3,Activo
2025-07-02 11:41:17,4,Activo
2025-07-02 11:41:17,4,Activo
2025-07-02 11:41:25,5,Activo
2025-07-02 11:41:25,5,Activo
2025-07-02 11:41:33,6,Activo
2025-07-02 11:41:33,6,Activo
2025-07-02 11:41:42,7,Inactivo
2025-07-02 11:41:42,7,Inactivo
2025-07-02 11:41:50,8,Inactivo
2025-07-02 11:41:50,8,Inactivo
2025-07-02 11:43:20,0,Activo
2025-07-02 11:43:20,0,Activo
2025-07-02 11:43:28,1,Activo
2025-07-02 11:43:28,1,Activo
2025-07-02 11:43:36,2,Activo
2025-07-02 11:43:36,2,Activo
2025-07-02 11:43:44,3,Activo
2025-07-02 11:43:44,3,Activo
2025-07-02 11:47:43,0,Activo
2025-07-02 11:47:43,0,Activo
2025-07-02 11:47:51,1,Activo
2025-07-02 11:47:51,1,Activo
2025-07-02 11:47:58,2,Activo
2025-07-02 11:47:59,2,Activo
2025-07-02 11:48:06,3,Activo
2025-07-02 11:48:06,3,Activo
2025-07-02 11:48:15,4,Inactivo
2025-07-02 11:48:15,4,Inactivo
2025-07-02 11:59:56,0,Activo
2025-07-02 11:59:56,0,Activo
2025-07-02 12:00:04,1,Activo
2025-07-02 12:00:04,1,Activo
2025-07-02 12:00:12,2,Activo
2025-07-02 12:00:12,2,Activo
2025-07-02 12:00:20,3,Activo
2025-07-02 12:00:20,3,Activo
2025-07-02 12:00:28,4,Activo
2025-07-02 12:00:28,4,Activo
2025-07-02 12:00:36,5,Activo
2025-07-02 12:00:36,5,Activo
2025-07-02 12:02:33,0,Activo
2025-07-02 12:02:33,0,Activo
2025-07-02 12:02:41,1,Activo
2025-07-02 12:02:41,1,Activo
2025-07-02 12:02:49,2,Activo
2025-07-02 12:02:49,2,Activo
2025-07-02 12:03:21,0,Activo
2025-07-02 12:03:21,0,Activo
2025-07-02 12:03:29,1,Activo
2025-07-02 12:03:29,1,Activo
2025-07-02 12:03:37,2,Activo
2025-07-02 12:03:37,2,Activo
2025-07-02 12:05:00,0,Activo
2025-07-02 12:05:00,0,Activo
2025-07-02 12:07:12,0,Activo
2025-07-02 12:07:20,1,Activo
2025-07-02 12:07:28,2,Activo
2025-07-02 12:07:36,3,Activo
2025-07-02 12:07:44,4,Inactivo
2025-07-02 12:07:52,5,Activo
2025-07-02 12:08:00,6,Activo
2025-07-02 12:08:08,7,Activo
2025-07-02 12:08:16,8,Activo
